gender_enc,age_enc,environment_enc,occupation_enc,spending_enc,culture_enc,avg_appeal_norm,emotional_reason_count,rational_reason_count,rational_check_total,emotional_check_total,cognitive_label
1.0,1.0,1.0,0.7,1.0,0.0,1.2857142857142856,2,1,18,6,1
0.0,4.0,1.0,0.5,0.5,0.5,0.7142857142857144,1,1,2,8,1
0.0,3.0,1.0,0.5,0.75,0.5,1.2857142857142856,0,3,14,6,0
1.0,2.0,0.0,0.7,1.0,1.0,1.1428571428571432,4,0,14,4,1
0.0,1.0,1.0,0.7,0.25,0.0,1.5714285714285712,3,2,12,6,1
0.0,1.0,1.0,0.4,0.5,0.5,1.2857142857142856,2,3,15,8,0
0.0,1.0,1.0,0.7,0.25,1.0,0.2857142857142856,3,0,17,4,1
0.0,1.0,1.0,0.7,0.5,0.5,0.8571428571428572,3,0,17,6,1
1.0,1.0,1.0,0.7,0.25,0.0,1.0,2,0,10,6,1
0.0,4.0,1.0,0.5,1.0,0.5,1.0,3,1,12,4,1
0.0,1.0,1.0,0.7,1.0,1.0,0.8571428571428572,1,2,4,4,1
1.0,2.0,1.0,0.7,0.25,0.5,0.7142857142857144,0,7,14,14,0
1.0,2.0,0.0,0.4,0.5,0.5,1.2857142857142856,3,0,11,4,1
1.0,2.0,1.0,0.4,0.25,0.5,-0.1428571428571428,0,0,11,4,0
0.0,1.0,1.0,0.7,0.25,1.0,1.8571428571428568,5,0,14,10,1
1.0,1.0,1.0,0.4,1.0,0.0,0.7142857142857144,4,0,16,8,1
0.0,2.0,1.0,0.4,1.0,1.0,0.7142857142857144,3,1,7,4,1
0.0,2.0,1.0,0.5,1.0,0.5,1.0,2,0,4,2,1
1.0,2.0,1.0,0.7,0.5,0.0,1.7142857142857144,2,1,11,2,1
0.0,1.0,1.0,0.7,1.0,0.5,0.2857142857142856,1,2,11,6,0
1.0,2.0,0.0,0.5,0.25,0.5,0.2857142857142856,2,1,15,6,0
1.0,1.0,0.0,0.5,0.75,0.5,1.0,1,3,9,6,0
0.0,1.0,0.0,0.4,0.25,1.0,0.5714285714285716,2,0,9,6,1
0.0,5.0,0.0,0.5,0.0,1.0,0.0,0,3,11,4,0
1.0,2.0,1.0,0.5,0.5,0.5,0.2857142857142856,1,1,11,6,0
1.0,2.0,0.0,0.5,0.5,1.0,0.2857142857142856,3,0,12,8,1
1.0,1.0,0.0,0.7,1.0,0.0,1.4285714285714288,0,1,13,4,1
1.0,3.0,0.0,0.5,0.5,0.5,0.8571428571428572,5,1,10,8,1
1.0,1.0,0.0,0.7,0.25,1.0,1.2857142857142856,1,3,9,6,1
1.0,4.0,0.0,0.5,0.75,0.0,-0.5714285714285716,1,3,13,10,0
1.0,2.0,0.0,0.5,0.75,1.0,-0.1428571428571428,3,3,9,12,0
1.0,1.0,0.0,0.7,0.0,0.5,1.1428571428571432,3,2,13,4,1
0.0,3.0,1.0,0.5,0.75,0.5,0.8571428571428572,2,1,8,12,1
1.0,2.0,0.0,0.4,0.25,1.0,0.5714285714285716,2,1,9,6,1
1.0,1.0,0.0,0.7,0.5,0.5,-0.1428571428571428,2,3,11,10,0
0.0,3.0,0.0,0.5,0.0,0.5,1.4285714285714288,2,1,13,6,1
0.0,3.0,0.0,0.4,0.5,1.0,1.0,2,1,8,10,1
1.0,2.0,0.0,0.5,0.75,0.5,0.5714285714285716,0,5,11,12,0
1.0,2.0,0.0,0.4,0.75,0.5,0.1428571428571428,1,2,8,6,0
0.0,2.0,0.0,0.5,0.25,0.0,0.5714285714285716,3,1,14,6,1
0.0,4.0,0.0,0.5,0.5,0.0,0.7142857142857144,1,2,11,8,0
1.0,1.0,0.0,0.4,0.75,0.5,0.0,1,2,16,10,0
1.0,2.0,1.0,0.4,0.25,1.0,0.7142857142857144,1,2,7,10,1
0.0,3.0,0.0,0.5,0.5,0.5,0.5714285714285716,2,1,14,6,1
1.0,2.0,1.0,0.5,0.5,1.0,0.8571428571428572,1,2,12,6,0
0.0,3.0,0.0,0.5,1.0,0.0,0.1428571428571428,4,1,14,4,1
