product_name,category,star_rating,review_title,review_text,helpful_votes,total_votes,verified_purchase,cognitive_label,source_file,marketplace,customer_id,review_id,product_id,product_parent,vine,review_date,review_text_clean,product_name_clean,input_text,word_count,exclamation_count,question_count,s1_keyword_hits,s2_keyword_hits,emotional_ratio,rational_ratio,star_rating_clean,sentiment_compound,sentiment_pos,sentiment_neg
Workoutclothing Women Workout Tanks Gym Fitness Clothes,Apparel,3.0,Peeling Letters,"I love these tanks. However, I'm paying $20+ shipping and the words are falling off after a wash or two. If they aren't falling off they're half peeling off and I'm needing to make repairs. So the cotton of the shirt is soft but the lettering is a bust.",0.0,0.0,Y,1,amazon_reviews_us_Apparel_v1_00.tsv,,,,,,,,"I love these tanks. However, I'm paying $20 shipping and the words are falling off after a wash or two. If they aren't falling off they're half peeling off and I'm needing to make repairs. So the cotton of the shirt is soft but the lettering is a bust.",,"PRODUCT: . REVIEW: I love these tanks. However, I'm paying $20 shipping and the words are falling off after a wash or two. If they aren't falling off they're half peeling off and I'm needing to make repairs. So the cotton of the shirt is soft but the lettering is a bust.",52,0,0,1,0,0.0192,0.0,3.0,0.25,0.052,0.052
L.A. Girl Matte Flat Finish Pigment Gloss,Beauty,1.0,Not color that is pictured ! Super disappointed,I was looking forward to try this color on my lips. As it appears when I placed it on my lips it wasn't the color that was picture. Now I'm stuck with a Lip color that I can't use.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,,I was looking forward to try this color on my lips. As it appears when I placed it on my lips it wasn't the color that was picture. Now I'm stuck with a Lip color that I can't use.,,PRODUCT: . REVIEW: I was looking forward to try this color on my lips. As it appears when I placed it on my lips it wasn't the color that was picture. Now I'm stuck with a Lip color that I can't use.,42,0,0,0,0,0.0,0.0,1.0,-0.25,0.0,0.053
"Diono Sit Rite Car Seat Installation Aid, Grey",Baby,4.0,Four Stars,Way better then a pool noodle. Retains shape even with car seat aggressively tightened,0.0,0.0,Y,0,amazon_reviews_us_Baby_v1_00.tsv_S2,US,13925653.0,R14PKOSGXD41J1,B005PK1CN4,664835791.0,N,2015-05-05,Way better then a pool noodle. Retains shape even with car seat aggressively tightened,"Diono Sit Rite Car Seat Installation Aid, Grey","PRODUCT: Diono Sit Rite Car Seat Installation Aid, Grey. REVIEW: Way better then a pool noodle. Retains shape even with car seat aggressively tightened",24,0,0,0,0,0.0,0.0,4.0,0.2023,0.155,0.087
"MILE 5 Pair of Black Color Replacement 2"" (50mm) Foam Pad Earpad Cover Cushion for Sennheiser PX100 Sony MDR-G57 Headphones",Electronics,4.0,Four Stars,"received in fast time, working well for headphones.",0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"received in fast time, working well for headphones.",MILE 5 Pair of Black Color Replacement 2 50mm Foam Pad Earpad Cover Cushion for Sennheiser PX100 Sony MDR-G57 Headphones,"PRODUCT: MILE 5 Pair of Black Color Replacement 2 50mm Foam Pad Earpad Cover Cushion for Sennheiser PX100 Sony MDR-G57 Headphones. REVIEW: received in fast time, working well for headphones.",30,0,0,0,0,0.0,0.0,4.0,0.2732,0.072,0.0
Rocketfish Universal Wireless Rear Speaker Kit RF-WHTIB-A,Electronics,5.0,Works great,"I'm unable to run wires to my rear speakers, so I have been looking for a wireless solution.  I purchased the Rocketfish wireless rear speaker kit at BB and was pleasantly surprised by the quality given the many negative reviews of this unit. I'm by no means an audiophile but the speakers I have plugged in sound crystal clear to me.  One thing to note is the unit will add a bit of latency to the audio (the nature of wireless), so you will want a receiver capable of correcting this or the audio coming from your rear speakers will have a slight delay.  The auto calibration feature on my Onkyo receiver detected the additional latency and corrects for it.  I can't even tell the speakers are connected wirelessly.<br /><br />I have the transmitter placed about a foot from my dual-band (2.4ghz and 5ghz) wireless router.  I get absolutely no audio interference.  The receiver is placed about 10ft away from the transmitter.",0.0,0.0,N,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"I'm unable to run wires to my rear speakers, so I have been looking for a wireless solution. I purchased the Rocketfish wireless rear speaker kit at BB and was pleasantly surprised by the quality given the many negative reviews of this unit. I'm by no means an audiophile but the speakers I have plugged in sound crystal clear to me. One thing to note is the unit will add a bit of latency to the audio the nature of wireless , so you will want a receiver capable of correcting this or the audio coming from your rear speakers will have a slight delay. The auto calibration feature on my Onkyo receiver detected the additional latency and corrects for it. I can't even tell the speakers are connected wirelessly. I have the transmitter placed about a foot from my dual-band 2.4ghz and 5ghz wireless router. I get absolutely no audio interference. The receiver is placed about 10ft away from the transmitter.",,"PRODUCT: . REVIEW: I'm unable to run wires to my rear speakers, so I have been looking for a wireless solution. I purchased the Rocketfish wireless rear speaker kit at BB and was pleasantly surprised by the quality given the many negative reviews of this unit. I'm by no means an audiophile but the speakers I have plugged in sound crystal clear to me. One thing to note is the unit will add a bit of latency to the audio the nature of wireless , so you will want a receiver capable of correcting this or the audio coming from your rear speakers will have a slight delay. The auto calibration feature on my Onkyo receiver detected the additional latency and corrects for it. I can't even tell the speakers are connected wirelessly. I have the transmitter placed about a foot from my dual-band 2.4ghz and 5ghz wireless router. I get absolutely no audio interference. The receiver is placed about 10ft away from the transmitter.",165,0,0,0,0,0.0,0.0,5.0,0.4759,0.083,0.059
Nylabone Natural Nubz Edible Dog Chews 22ct. (2.6lb bag),Pet Products,5.0,Five Stars,They love them.... if given a choice they go for the nubz,0.0,0.0,Y,1,amazon_reviews_us_Pet_Products_v1_00.tsv,,,,,,,,They love them.... if given a choice they go for the nubz,Nylabone Natural Nubz Edible Dog Chews 22ct. 2.6lb bag,PRODUCT: Nylabone Natural Nubz Edible Dog Chews 22ct. 2.6lb bag. REVIEW: They love them.... if given a choice they go for the nubz,23,0,0,1,0,0.0435,0.0,5.0,0.7717,0.251,0.0
Monoprice 102395 50-Feet VGA to 3 RCA Component Video Cable (HD15-3-RCA),Electronics,2.0,"like, sometimes if you just move or bend the ...","I did get a picture with this cable, but it didn't work properly.  The entire screen was tinted green, and the motion came through really choppy.  These issues aren't rare with older or used VGA cables, but shouldn't occur with a brand new cable.  Also, I couldn't correct the problems by rearranging the cable... like, sometimes if you just move or bend the cable so, the picture works correctly - but yeah, it made no difference in this case.  The cable was just defective.  Returned for a refund; I'll try a different option.",0.0,0.0,Y,0,amazon_reviews_us_Electronics_v1_00.tsv,,,,,,,,"I did get a picture with this cable, but it didn't work properly. The entire screen was tinted green, and the motion came through really choppy. These issues aren't rare with older or used VGA cables, but shouldn't occur with a brand new cable. Also, I couldn't correct the problems by rearranging the cable... like, sometimes if you just move or bend the cable so, the picture works correctly - but yeah, it made no difference in this case. The cable was just defective. Returned for a refund I'll try a different option.",Monoprice 102395 50-Feet VGA to 3 RCA Component Video Cable HD15-3-RCA,"PRODUCT: Monoprice 102395 50-Feet VGA to 3 RCA Component Video Cable HD15-3-RCA. REVIEW: I did get a picture with this cable, but it didn't work properly. The entire screen was tinted green, and the motion came through really choppy. These issues aren't rare with older or used VGA cables, but shouldn't occur with a brand new cable. Also, I couldn't correct the problems by rearranging the cable... like, sometimes if you just move or bend the cable so, the picture works correctly - but yeah, it made no difference in this case. The cable was just defective. Returned for a refund I'll try a different option.",106,0,0,1,0,0.0094,0.0,2.0,0.3153,0.082,0.061
Peach Couture 100% Cotton Womens 2 Pc Long John Thermal Pajamas -Top & Bottom,Apparel,5.0,Warm and soft,Bought these for my wife for Christmas.She loves them. Very warm and soft,0.0,0.0,Y,1,amazon_reviews_us_Apparel_v1_00.tsv,,,,,,,,Bought these for my wife for Christmas.She loves them. Very warm and soft,Peach Couture 100% Cotton Womens 2 Pc Long John Thermal Pajamas -Top Bottom,PRODUCT: Peach Couture 100% Cotton Womens 2 Pc Long John Thermal Pajamas -Top Bottom. REVIEW: Bought these for my wife for Christmas.She loves them. Very warm and soft,28,0,0,1,0,0.0357,0.0,5.0,0.7713,0.243,0.0
Levi's Girls' Sharon Denim Shortall,Apparel,4.0,My daughter has very long legs and the adjustment was nice!,Very cute! My daughter has very long legs and the adjustment was nice!,0.0,0.0,Y,1,amazon_reviews_us_Apparel_v1_00.tsv,,,,,,,,Very cute! My daughter has very long legs and the adjustment was nice!,,PRODUCT: . REVIEW: Very cute! My daughter has very long legs and the adjustment was nice!,16,2,0,1,0,0.0625,0.0,4.0,0.7702,0.339,0.0
MLB Detroit Tigers FanBand Headband,Sports,3.0,Three Stars,I love the colors and fabric but it won't stay on my head even with bobby pins.,0.0,0.0,Y,1,amazon_reviews_us_Sports_v1_00.tsv_S1,US,27870280.0,R1DBW42C2HRCU4,B001XMTAX2,966343666.0,N,2015-07-11,I love the colors and fabric but it won't stay on my head even with bobby pins.,,PRODUCT: . REVIEW: I love the colors and fabric but it won't stay on my head even with bobby pins.,20,0,0,1,0,0.05,0.0,3.0,0.3818,0.133,0.0
