product_name,category,star_rating,review_title,review_text,helpful_votes,total_votes,verified_purchase,cognitive_label,source_file,marketplace,customer_id,review_id,product_id,product_parent,vine,review_date
ACF Sleep Mask & Ear Plug Set – Premium Quality Eye Mask w/ Memory Foam,Beauty,1.0,One Star,It lets in a lot of light around your nose which defeats the whole purpose,1.0,1.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Cedarwood Premium 100% Pure, Best Therapeutic Grade Essential Oil",Beauty,1.0,"Weak scent, probably a fake",I did some research after receiving my cedarwood oil and not being pleased with the week and strange smell. Lots of buyers suspect this brand without a lot of fakes. Someone even said a chemist tested their products and found this to be true. I'm willing to bet this one is just a fake cedarwood perfume.,3.0,23.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
L'Oreal Paris Colour Rays Highlights,Beauty,1.0,No thanks!,Sadly it doesn't really show up that great. Also it is messy as heck and will stain anything it touches so be extra careful. It also started to fade and left a blondish streak behind.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
20''7pcs Fashional Clips in Remy Human Hair Extensions 24 Colors for Women Beauty Hot Sale,Beauty,1.0,Might be good for color inserts but very bad as length extensions,"Too thin, won't blend except for with VERY thin hair. Might be good for color inserts but very bad as length extensions.",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Kleancolor Nail Polish - Awesome Metallic Full Size Lacquer Lot of 12-pc Set Body Care / Beauty Care / Bodycare / BeautyCare,Beauty,1.0,Otherwise the colors are great except the black,The Nail polish is chipping as you apply it. The nail polish is thick and you have to dribble acetone in it as you get it. Otherwise the colors are great except the black.,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Suave Professionals Men's Styling Gel, Wet Look, 7-Ounce (Pack of 3)",Beauty,1.0,disappointed ,"Description implies that it will be a pack of 3; false, received only 1. When trying to send a message of concern, there was no way of contact...",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Solid and Sweet Color Cotton Comfort Stretch Headband Set of 3,Beauty,1.0,One Star,"Nice colors, but Flimsy fabric and serged exposed seams. These bunch up and don't lie flat.",0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
Vichy Laboratories 48 Hour Soothing Anti-Perspirant Deodorant for Women,Beauty,1.0,horrible,horrible does not work and not worth the money,0.0,0.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"2 Dozen 15"" x 25"" WHITE Cotton Salon Bleach Proof Chemical Resistant Towels Safe",Beauty,1.0,Worth spending a few more dollars to get a better,towels are not quality.  Worth spending a few more dollars to get a better towel,2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
"Redmond Earthpaste - Natural Non-Flouride Toothpaste, Spearmint, 4 Ounce Tube",Beauty,1.0,I was excited to try something new and better for my teeth,"I was excited to try something new and better for my teeth. Wasn't very impressed my first week because I was hoping for sensitivity to be less of a problem but i felt it was getting worse. My breathe didn't smell bad but I never felt clean either. THEN the real kicker for me was there was a bug in my tube. Needless to say, never again.",2.0,2.0,Y,1,amazon_reviews_us_Beauty_v1_00.tsv,,,,,,,
